gene_symbol,reference_gene_id
hivep1,ENSDARG00000103658
hivep2a,ENSDARG00000039987
hivep2b,ENSDARG00000018773
hivep3a,ENSDARG00000075928
hivep3b,ENSDARG00000037154
hlfa,ENSDARG00000074752
hlfb,ENSDARG00000061011
hlx1,ENSDARG00000009134
HMBOX1,ENSDARG00000109287
hmbox1a,ENSDARG00000027082
hmg20a,ENSDARG00000031198
hmg20b,ENSDARG00000042045
hmg20b,ENSDARG00000116536
hmga1a,ENSDARG00000028335
hmga1b,ENSDARG00000070951
hmga2,ENSDARG00000069912
hmgb1a,ENSDARG00000099175
hmgb1a,ENSDARG00000114353
hmgb1b,ENSDARG00000030479
hmgb2a,ENSDARG00000029722
hmgb2b,ENSDARG00000053990
hmgb3a,ENSDARG00000056725
hmgb3b,ENSDARG00000006408
hmgxb3,ENSDARG00000077823
hmgxb4a,ENSDARG00000075783
hmx1,ENSDARG00000095651
hmx1,ENSDARG00000109725
hmx1,ENSDARG00000111765
hmx2,ENSDARG00000070954
hmx2,ENSDARG00000115364
hmx3a,ENSDARG00000070955
hmx3a,ENSDARG00000115051
hmx3b,ENSDARG00000096716
hmx4,ENSDARG00000007941
hmx4,ENSDARG00000115000
hmx4,ENSDARG00000116208
hnf1a,ENSDARG00000009470
hnf1ba,ENSDARG00000006615
hnf1ba,ENSDARG00000115522
hnf1bb,ENSDARG00000022295
hnf4a,ENSDARG00000021494
hnf4a,ENSDARG00000112985
hnf4b,ENSDARG00000104742
hnf4g,ENSDARG00000071565
homeza,ENSDARG00000054304
homeza,ENSDARG00000113138
homezb,ENSDARG00000024598
hopx,ENSDARG00000089368
hoxa10b,ENSDARG00000031337
hoxa11a,ENSDARG00000104162
hoxa11b,ENSDARG00000007009
hoxa13a,ENSDARG00000100312
hoxa13b,ENSDARG00000036254
hoxa1a,ENSDARG00000104307
hoxa2b,ENSDARG00000023031
hoxa4a,ENSDARG00000103862
hoxa5a,ENSDARG00000102501
hoxa9a,ENSDARG00000105013
hoxa9b,ENSDARG00000056819
hoxb10a,ENSDARG00000011579
hoxb13a,ENSDARG00000056015
hoxb1a,ENSDARG00000008174
hoxb1b,ENSDARG00000054033
hoxb1b,ENSDARG00000112663
hoxb2a,ENSDARG00000000175
hoxb3a,ENSDARG00000029263
hoxb4a,ENSDARG00000013533
hoxb5a,ENSDARG00000013057
hoxb5b,ENSDARG00000054030
hoxb5b,ENSDARG00000113174
hoxb6a,ENSDARG00000010630
hoxb6b,ENSDARG00000026513
hoxb6b,ENSDARG00000111786
hoxb7a,ENSDARG00000056030
hoxb8a,ENSDARG00000056027
hoxb8b,ENSDARG00000054025
hoxb8b,ENSDARG00000111056
hoxb9a,ENSDARG00000056023
hoxc10a,ENSDARG00000070348
hoxc11a,ENSDARG00000070351
hoxc11b,ENSDARG00000102631
hoxc12a,ENSDARG00000070352
hoxc12b,ENSDARG00000103133
hoxc13a,ENSDARG00000070353
hoxc13b,ENSDARG00000113877
hoxc1a,ENSDARG00000070337
hoxc3a,ENSDARG00000070339
hoxc4a,ENSDARG00000070338
hoxc5a,ENSDARG00000070340
hoxc6a,ENSDARG00000070343
hoxc6b,ENSDARG00000101954
hoxc8a,ENSDARG00000070346
hoxc9a,ENSDARG00000092809
hoxd10a,ENSDARG00000057859
hoxd11a,ENSDARG00000059267
hoxd12a,ENSDARG00000059263
hoxd13a,ENSDARG00000059256
hoxd3a,ENSDARG00000059280
hoxd4a,ENSDARG00000059276
hoxd9a,ENSDARG00000059274
hsf1,ENSDARG00000008818
hsf2,ENSDARG00000053097
hsf4,ENSDARG00000013251
hsf5,ENSDARG00000104686
id1,ENSDARG00000040764
id2a,ENSDARG00000055283
id2b,ENSDARG00000029544
id3,ENSDARG00000054823
id4,ENSDARG00000045131
ikzf1,ENSDARG00000013539
ikzf2,ENSDARG00000069111
ikzf4,ENSDARG00000037068
ikzf5,ENSDARG00000056491
ikzf5,ENSDARG00000116693
im:7141269,ENSDARG00000101756
im:7142702,ENSDARG00000116556
im:7143333,ENSDARG00000096948
im:7147486,ENSDARG00000086626
insm1a,ENSDARG00000091756
insm1b,ENSDARG00000053301
INSM2,ENSDARG00000020655
irf10,ENSDARG00000027658
irf1a,ENSDARG00000043492
irf1b,ENSDARG00000043249
irf2,ENSDARG00000040465
irf2a,ENSDARG00000007387
irf3,ENSDARG00000076251
irf4a,ENSDARG00000006560
irf4b,ENSDARG00000055374
irf4b,ENSDARG00000115381
irf5,ENSDARG00000045681
irf6,ENSDARG00000101986
irf7,ENSDARG00000045661
irf8,ENSDARG00000056407
irf9,ENSDARG00000016457
irx1a,ENSDARG00000101831
irx1b,ENSDARG00000056594
irx2a,ENSDARG00000001785
irx3a,ENSDARG00000101076
irx3b,ENSDARG00000031138
irx4a,ENSDARG00000035648
irx4b,ENSDARG00000036051
irx5a,ENSDARG00000034043
irx5b,ENSDARG00000074070
irx6a,ENSDARG00000034420
irx7,ENSDARG00000002601
isl1,ENSDARG00000004023
isl1l,ENSDARG00000021055
isl1l,ENSDARG00000110204
isl2a,ENSDARG00000003971
isl2b,ENSDARG00000053499
jarid2a,ENSDARG00000060925
jarid2b,ENSDARG00000062268
jazf1a,ENSDARG00000102551
jazf1b,ENSDARG00000056793
jdp2a,ENSDARG00000040137
jdp2b,ENSDARG00000020133
jun,ENSDARG00000043531
junba,ENSDARG00000074378
junbb,ENSDARG00000104773
jund,ENSDARG00000067850
june,ENSDARG00000104090
khsrp,ENSDARG00000026489
klf1,ENSDARG00000017400
klf11a,ENSDARG00000030844
klf11b,ENSDARG00000013794
klf12a,ENSDARG00000015312
klf12a,ENSDARG00000115152
klf12b,ENSDARG00000032197
klf13,ENSDARG00000061368
klf15,ENSDARG00000091127
