gene_symbol,reference_gene_id
Hoxb13,ENSRNOG00000007491
Hoxb2,ENSRNOG00000008365
Hoxb3,ENSRNOG00000008313
Hoxb4,ENSRNOG00000008191
Hoxb5,ENSRNOG00000008010
Hoxb6,ENSRNOG00000007823
Hoxb7,ENSRNOG00000007611
Hoxb8,ENSRNOG00000007585
Hoxb9,ENSRNOG00000007573
Hoxc10,ENSRNOG00000016149
Hoxc11,ENSRNOG00000016141
Hoxc12,ENSRNOG00000016116
Hoxc13,ENSRNOG00000028679
Hoxc4,ENSRNOG00000016613
Hoxc5,ENSRNOG00000016598
Hoxc6,ENSRNOG00000063956
Hoxc8,ENSRNOG00000028619
Hoxc9,ENSRNOG00000016199
Hoxd1,ENSRNOG00000001572
Hoxd10,ENSRNOG00000001581
Hoxd11,ENSRNOG00000069591
Hoxd12,ENSRNOG00000001587
Hoxd13,ENSRNOG00000001588
Hoxd3,ENSRNOG00000001577
Hoxd4,ENSRNOG00000001578
Hoxd8,ENSRNOG00000071108
Hoxd9,ENSRNOG00000001580
Hsf1,ENSRNOG00000021732
Hsf2,ENSRNOG00000000808
Hsf3,ENSRNOG00000021694
Hsf4,ENSRNOG00000015253
Hsf5,ENSRNOG00000056793
Hsfy2,ENSRNOG00000038569
Id1,ENSRNOG00000021750
Id2,ENSRNOG00000007237
Id3,ENSRNOG00000026124
Id4,ENSRNOG00000016099
Ikzf1,ENSRNOG00000004444
Ikzf2,ENSRNOG00000027430
Ikzf3,ENSRNOG00000007200
Ikzf4,ENSRNOG00000005535
Ikzf5,ENSRNOG00000025651
Insm1,ENSRNOG00000068937
Irf1,ENSRNOG00000008144
Irf2,ENSRNOG00000009824
Irf3,ENSRNOG00000043388
Irf4,ENSRNOG00000061070
Irf5,ENSRNOG00000007437
Irf6,ENSRNOG00000005082
Irf7,ENSRNOG00000017414
Irf8,ENSRNOG00000017869
Irf9,ENSRNOG00000019478
Irx1,ENSRNOG00000033609
Irx2,ENSRNOG00000012742
Irx3,ENSRNOG00000011533
Irx4,ENSRNOG00000012720
Irx5,ENSRNOG00000011180
Irx6,ENSRNOG00000011037
Isl1,ENSRNOG00000012556
Isl2,ENSRNOG00000015336
Isx,ENSRNOG00000039808
Jarid2,ENSRNOG00000045918
Jazf1,ENSRNOG00000027026
Jdp2,ENSRNOG00000063964
Jun,ENSRNOG00000026293
Jund,ENSRNOG00000019568
Khsrp,ENSRNOG00000047628
Klf1,ENSRNOG00000003443
Klf10,ENSRNOG00000006118
Klf11,ENSRNOG00000054259
Klf12,ENSRNOG00000009145
Klf13,ENSRNOG00000015822
Klf14,ENSRNOG00000027557
Klf15,ENSRNOG00000017808
Klf16,ENSRNOG00000033694
Klf17,ENSRNOG00000019479
Klf2,ENSRNOG00000067705
Klf3,ENSRNOG00000002163
Klf4,ENSRNOG00000016299
Klf5,ENSRNOG00000008785
Klf6,ENSRNOG00000016885
Klf7,ENSRNOG00000046242
Klf8,ENSRNOG00000065004
Klf9,ENSRNOG00000014215
Kmt2c,ENSRNOG00000061080
Kmt2d,ENSRNOG00000061499
L3mbtl1,ENSRNOG00000007044
L3mbtl3,ENSRNOG00000011720
Lbx1,ENSRNOG00000025520
Lbx2,ENSRNOG00000008466
Lcor,ENSRNOG00000042679
Lcorl,ENSRNOG00000003787
Lef1,ENSRNOG00000010121
Lhx1,ENSRNOG00000002812
Lhx2,ENSRNOG00000010551
Lhx3,ENSRNOG00000018427
Lhx4,ENSRNOG00000003595
Lhx5,ENSRNOG00000001392
Lhx6,ENSRNOG00000005996
Lhx8,ENSRNOG00000028348
Lhx9,ENSRNOG00000010357
Lin28a,ENSRNOG00000069459
Lin28b,ENSRNOG00000025938
Litaf,ENSRNOG00000002520
Lmx1a,ENSRNOG00000004642
Lmx1b,ENSRNOG00000017019
Lrrfip1,ENSRNOG00000019892
Lrrfip2,ENSRNOG00000021047
Ltf,ENSRNOG00000031779
Lyar,ENSRNOG00000005374
Lyl1,ENSRNOG00000002950
Mael,ENSRNOG00000003790
Maf,ENSRNOG00000012428
Maf1,ENSRNOG00000013514
Mafa,ENSRNOG00000007668
Mafb,ENSRNOG00000016037
Maff,ENSRNOG00000012886
Mafg,ENSRNOG00000036697
Max,ENSRNOG00000008049
Maz,ENSRNOG00000055082
Mbd1,ENSRNOG00000024104
Mbd2,ENSRNOG00000011853
Mbd3,ENSRNOG00000028956
Mbd4,ENSRNOG00000010919
Mbtps2,ENSRNOG00000007644
Mecom,ENSRNOG00000012645
Mecp2,ENSRNOG00000056659
Mef2a,ENSRNOG00000047756
Mef2b,ENSRNOG00000020400
Mef2c,ENSRNOG00000033134
Mef2d,ENSRNOG00000031778
Meiosin,ENSRNOG00000067421
Meis1,ENSRNOG00000004606
Meis2,ENSRNOG00000004730
Meis3,ENSRNOG00000021390
Meox1,ENSRNOG00000020803
Meox2,ENSRNOG00000006588
Mesp1,ENSRNOG00000014951
Mesp2,ENSRNOG00000014925
Mga,ENSRNOG00000006378
Mideas,ENSRNOG00000010653
Mier1,ENSRNOG00000007175
Mier2,ENSRNOG00000000175
Mier3,ENSRNOG00000013121
Mis18bp1,ENSRNOG00000023093
Mitf,ENSRNOG00000008658
Mkrn2,ENSRNOG00000009176
Mkx,ENSRNOG00000018938
Mllt10,ENSRNOG00000022249
Mlx,ENSRNOG00000019983
Mlxip,ENSRNOG00000001255
Mnt,ENSRNOG00000002894
Mnx1,ENSRNOG00000046959
Msc,ENSRNOG00000007540
Msgn1,ENSRNOG00000028518
Msx2,ENSRNOG00000018355
Msx3,ENSRNOG00000046776
Mta1,ENSRNOG00000004711
Mta2,ENSRNOG00000019913
Mta3,ENSRNOG00000004685
Mtf1,ENSRNOG00000025724
Mxd1,ENSRNOG00000017720
Mxd3,ENSRNOG00000070523
Mxd4,ENSRNOG00000015033
Mxi1,ENSRNOG00000034078
Myb,ENSRNOG00000055858
Mybl1,ENSRNOG00000021669
Mybl2,ENSRNOG00000007805
Myc,ENSRNOG00000004500
Mycl,ENSRNOG00000014259
Mycn,ENSRNOG00000051372
Mycs,ENSRNOG00000003085
Myef2,ENSRNOG00000005258
Myf5,ENSRNOG00000004768
Myf6,ENSRNOG00000004878
Mynn,ENSRNOG00000027923
Myod1,ENSRNOG00000011306
Myog,ENSRNOG00000030743
Myrf,ENSRNOG00000028274
Myrfl,ENSRNOG00000021833
Mysm1,ENSRNOG00000026299
Myt1,ENSRNOG00000017346
Myt1l,ENSRNOG00000004269
Mzf1,ENSRNOG00000027550
Nanog,ENSRNOG00000008368
Ncoa1,ENSRNOG00000004068
Ncor1,ENSRNOG00000055246
Ncor2,ENSRNOG00000001004
Necab3,ENSRNOG00000016708
Neurod1,ENSRNOG00000005609
Neurod2,ENSRNOG00000028417
Neurod4,ENSRNOG00000008449
Neurod6,ENSRNOG00000026055
Neurog1,ENSRNOG00000022405
Neurog2,ENSRNOG00000010972
Neurog3,ENSRNOG00000024413
NEWGENE_1310011,ENSRNOG00000003176
Nfat5,ENSRNOG00000011879
Nfatc1,ENSRNOG00000017146
Nfatc2,ENSRNOG00000012175
Nfatc3,ENSRNOG00000054264
Nfatc4,ENSRNOG00000020482
Nfe2,ENSRNOG00000036837
Nfe2l1,ENSRNOG00000008830
Nfe2l2,ENSRNOG00000001548
Nfe2l3,ENSRNOG00000010886
Nfia,ENSRNOG00000006966
Nfib,ENSRNOG00000009795
Nfic,ENSRNOG00000004505
Nfil3,ENSRNOG00000011668
Nfilz,ENSRNOG00000063608
Nfix,ENSRNOG00000002983
Nfkb1,ENSRNOG00000023258
Nfkb2,ENSRNOG00000019311
